ANSWER,CLUE
AA,ANADOLU AJANSI
AA,ANADOLU AJANSI (KISACA)
AA,ANADOLU AJANSI (KISALTMA)
AA,BİR HABER AJANSI
AAR,İSVİÇRE’DE BİR IRMAK
AAR,İSVİÇRE’NİN EN UZUN IRMAĞI
AARAU,İSVİÇRE'DE BİR NEHİR
AARE,İSVİÇRE'DE BİR NEHİR
AARE,İSVİÇRE'DE IRMAK
AARE,İSVİÇREDE IRMAK
AARE,İSVİÇRE’DE BİR NEHİR
AARE,İSVİÇRE’DE IRMAK
AB,AVRUPA BİRLİĞİ
AB,ESKİ DİLDE SU
AB,EVRENSEL ALICI KAN GRUBU
AB,GENEL ALICI KAN GRUBU
ABA,ABLA
ABA,ESKİ TÜRK GÜREŞLERİNDEN BİRİ
ABA,HALK DİLİNDE ABLA
ABA,KALIN VE KABA KUMAŞ
ABACI,ABA YAPAN VEYA SATAN KİMSE
ABACI,ABADAN GİYECEK YAPAN VEYA SATAN KİMSE
ABADAN,"MAMUR, ŞEN"
ABADAN,YÜNLÜ YADA PAMUKLU BİR DOKUMA
ABADAN,İRAN'DA BİR KENT
ABADİ,KALINCA VE AÇIK SAMAN RENGİNDE İPEKTEN YAPILAN YARI MAT BİR KAĞIT TÜRÜ
ABADİ,PÜRÜZSÜZ İPEK KAĞIT
ABADİ,"YARI MAT, KALIN YAZI KAĞIDI"
ABADİ,"YARI MAT, KALINCA BİR YAZI KAĞIDI TÜRÜ"
ABAJUR,AYAKLI LAMBA
ABAJUR,"IŞIĞI GÖZE DOĞRUDAN GELMEYECEK ŞEKİLDE YUMUŞATAN, AYDINLATMA ARACI."
ABAJUR,SİPERLİ MASA LAMBASI
ABAK,ESKİ TÜRKLERDE ÖLMÜŞ KİMSELERİN HEYKEL VB SURETLERİ
ABAK,ESKİ TÜRKLERDE ÖLMÜŞ KİMSELERİN HEYKEL VB. SURETLERİ
ABAK,ESKİ TÜRKLERDE ÖLMÜŞ KİŞİNİN HEYKELİ
ABAK,ESKİ YUNANİSTAN’DA TAPINAKLARDA YER ALAN VE ÜZERİNE SUNGULAR KONAN MASA
ABAK,"RESİM, HEYKEL VB. ŞEKİLLER"
ABAKA,FİLİPİNLERDE YETİŞEN VE MANİLA KENEVİRİ ADLI ELYAFI VEREN MUZ TÜRÜ
ABAKÜS,SAYI BONCUĞU
ABAKÜS,"SAYI BONCUĞU, ÇÖRKÜ"
ABALON,DÜĞME VE SÜS EŞYASI YAPIMINDA KULLANILAN BİR DENİZ KABUKLUSU
ABAN,ESKİDEN İRAN’DA KULLANILAN ZERDÜŞT TAKVİMİNDE YILIN SEKİZİNCİ AYI
ABANA,KASTAMONU İLÇESİ
ABANA,KASTAMONU’NUN BİR İLÇESİ
ABANDONE,SERSEMLEMİŞ BOKSÖR
ABANDONE,ÇARESİZ DURUMA DÜŞME
ABANOZ,"AĞIR, SERT VE SİYAH RENKLİ TAHTA"
ABANOZ,SERT VE SİYAH RENKLİ TAHTA
ABANOZ,TAHTASI SERT BİR AĞAÇ
ABANT,BOLU'DA BİR GÖL
ABANT,BOLU’DA BİR GÖL
ABANİ,BİR TÜR İPEKLİ KUMAŞ
ABANİ,"GENELLİKLE SARIK, BOHÇA, YORGAN YÜZÜ YAPIMINDA KULLANILAN, ZEMİNİ BEYAZ, ÜZERİNDE SAFRAN RENGİNDE NAKIŞLAR BULUNAN İPEK KUMAŞ"
ABANİ,SARIMTIRAK DALLI NAKIŞLARLA İŞLENMİŞ BİR TÜR BEYAZ İPEK KUMAŞ
ABAR,ESKİ DİLDE HESAP DEFTERİ.
ABARA,TARLADA SABAN İZİ
ABARA,TARLALARDA AÇILAN SU YOLU
ABARTI,MÜBALAĞA
ABAT,BAYINDIR
ABAT,"BAYINDIR, MAMUR"
ABAT,"ŞEN, RAHAT"
ABAYISERMEK,BİR YERE TEKLİFSİZCE YERLEŞMEK
ABAYIYAKMAK,"GÖNÜL VERMEK, TUTULMAK, ÂŞIK OLMAK"
ABAZA,KAFKASYALI BİR HALK
ABAZA,KUZEYBATI KAFKASYA'DA YAŞAYAN BİR HALK VE BU HALKA MENSUP OLAN KİMSE
ABAİNDİ,VAN GÖLÜ KIYISINDAKİ URARTU KENTİ
ABAŞO,"ALTTA, ALTTAKİ"
ABAŞO,"ALTTA, AŞAĞIDA BULUNAN, ALTTAKİ"
ABAŞO,"DENİZCİLİK DİLİNDE AŞAĞIDA, ALT ANLAMINDA KULLANILAN SÖZ. GEMİYİ BAŞTAN YADA KIÇTAN HALATLA KARAYA BAĞLAMA"
ABBARA,MARDİN’İN GELENEKSEL SOKAKLARINDAKİ KEMERLİ GEÇİTLERE VERİLEN AD
ABD,AMERİKA BİRLEŞİK DEVLETLERİ
ABD,KUZE AMERİKA ÜLKESİ
ABDAL,ESKİDEN KİMİ GEZGİN DERVİŞLERE VERİLEN AD
ABDAL,GEZGİN DERVİŞ
ABE,BİR SESLENME ÜNLEMİ
ABECE,ALFABE
ABEK,ESKİ DİLDE CIVA
ABERASYON,SAPINÇ
ABES,AKLA AYKIRI
ABES,AKLA VE GERÇEĞE AYKIRI
ABES,GEREKSİZ BİÇİMDE
ABES,"GEREKSİZ, YERSİZ VE BOŞ OLAN"
ABES,"GEREKSİZ, YERSİZ, BOŞ"
ABESE,KURANDA BİR SURE
ABESE,KUR’AN’DA BİR SURE
ABESLİK,ABES OLMA DURUMU
ABIRU,YÜZSUYU
ABLA,BÜYÜK KIZ KARDEŞ
ABLAK,YAYVAN VE DOLGUN YÜZ
ABLAK,YAYVAN YÜZLÜ
ABLATİF,GRAMERDE ÇIKMA DURUMU
ABLATİF,ÇIKMA DURUMU
ABLUKA,KUŞATMA
ABLUKA,"KUŞATMA, ÇEVİRME"
ABO,TURKU’NUN İSVEÇ’TEKİ ADI
ABO,"ŞAŞMA VE KORKU BİLDİREN BİR SÖZ, ABU"
ABONE,BİR ŞEYİ SÜREKLİ OLARAK KULLANMAK İÇİN SÖZLEŞME YAPAN KİMSE
ABONE,SÜREKLİ KULLANMAK İÇİN SÖZLEŞME YAPAN
ABONE,SÜRELİ YAYINLARI PEŞİN ALMA
ABONE,ÖNCEDEN ÖDEMEDE BULUNARAK SÜRELİ YAYINLARA ALICI OLMA İŞİ
ABOSA,"DENİZCİLİKTE, ÇEKİLMEKTE VEYA İNDİRİLMEKTE OLAN BİR HALATI VEYA ZİNCİRİ BİR YERE BAĞLAMAK İÇİN VERİLEN KOMUT"
ABOSA,GEMİDE HAREKET HALİNDEKİ HALATIN YA DA ZİNCİRİN BİR AN DURDURULMASI İÇİN VERİLEN KOMUT
ABRA,DARA
ABRA,DEĞİŞ TOKUŞ DA ÜSTE VERİLEN ŞEY
ABRAKADABRA,SİHİRBAZLARIN SIKÇA KULLANDIĞI BÜYÜ SÖZÜ
ABRAŞ,ALACA BENEKLİ
ABRAŞ,"ALACA, BENEKLİ"
ABSORBE,SOĞURMA
ABSORBE,SOĞURMA (FİZİK)
ABSORPSİYON,IŞIĞIN SOĞURULMASI OLAYI
ABSÜRT,SAÇMA
ABSÜRT,"SAÇMA, ANLAMSIZ"
ABU,ŞAŞMA SÖZÜ (HALK AĞZI)
